,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
45,Marengo,AL,23084,5.0,2.1660024259227173,3.72352e-05,8.0,2.55097e-05,4.96142e-05,4.0,14.0
46,Marion,AL,29830,8.0,2.681863895407308,3.7797400000000005e-05,11.0,2.63237e-05,4.97874e-05,5.0,17.0
47,Marshall,AL,70832,11.0,1.552970408854755,2.6831e-05,19.0,1.9435e-05,3.52579e-05,9.0,27.0
48,Mobile,AL,378643,52.0,1.373325269449059,1.689215e-05,64.0,1.37536e-05,2.02107e-05,45.0,81.0
49,Monroe,AL,23968,1.0,0.4172229639519359,3.05295e-05,7.0,1.97077e-05,4.24781e-05,2.0,12.0
50,Montgomery,AL,209085,25.0,1.1956859650381424,1.76057e-05,36.0,1.32633e-05,2.21229e-05,23.0,49.0
51,Morgan,AL,100043,16.0,1.5993122957128434,2.48026e-05,25.0,1.83771e-05,3.21226e-05,13.0,34.0
52,Perry,AL,12759,1.0,0.7837604827964574,3.690405e-05,5.0,2.42663e-05,5.12757e-05,1.0,8.0
53,Pickens,AL,20699,7.0,3.3818058843422385,4.18047e-05,9.0,2.91761e-05,5.48718e-05,3.0,14.0
54,Pike,AL,27595,1.0,0.3623844899438304,2.9008850000000003e-05,8.0,1.90413e-05,3.91675e-05,3.0,13.0
55,Randolph,AL,19881,2.0,1.0059856144057142,3.4445450000000004e-05,7.0,2.20374e-05,4.74921e-05,2.0,11.0
56,Russell,AL,46860,13.0,2.774221084080239,3.61591e-05,17.0,2.48882e-05,4.60054e-05,8.0,25.0
57,Shelby,AL,99358,8.0,0.8051691861752452,1.9437850000000002e-05,19.0,1.3879e-05,2.57839e-05,10.0,28.0
58,St. clair,AL,50009,0.0,0.0,2.096355e-05,10.0,1.37947e-05,2.92844e-05,3.0,16.0
59,Sumter,AL,16174,0.0,0.0,3.3328000000000003e-05,5.0,2.00342e-05,4.57872e-05,1.0,9.0
60,Talladega,AL,74107,12.0,1.6192802299377924,2.710865e-05,20.0,1.94447e-05,3.51818e-05,10.0,28.0
61,Tallapoosa,AL,38826,15.0,3.863390511512904,4.1964999999999995e-05,16.0,3.06692e-05,5.45443e-05,7.0,23.0
62,Tuscaloosa,AL,150522,23.0,1.5280158382163402,2.195655e-05,33.0,1.66751e-05,2.77082e-05,19.0,44.0
63,Walker,AL,67670,17.0,2.512191517659229,3.286755e-05,22.0,2.4016e-05,4.14447e-05,12.0,31.0
64,Washington,AL,16694,1.0,0.5990176111177669,3.4580549999999995e-05,6.0,2.19434e-05,4.75126e-05,1.0,10.0
65,Wilcox,AL,13568,3.0,2.2110849056603774,4.010465e-05,5.0,2.69412e-05,5.51211e-05,1.0,9.0
66,Winston,AL,22053,5.0,2.267265224685984,3.74641e-05,8.0,2.59494e-05,5.04487e-05,3.0,13.0
67,Apache,AZ,61591,2.0,0.3247227679368739,2.05475e-05,12.0,1.3628e-05,2.79159e-05,6.0,20.0
68,Cochise,AZ,97624,15.0,1.536507416209129,2.4714349999999998e-05,24.0,1.77498e-05,3.12482e-05,14.0,34.0
69,Coconino,AZ,96591,6.0,0.6211758859521073,1.83245e-05,17.0,1.22995e-05,2.41841e-05,8.0,26.0
70,Gila,AZ,40216,9.0,2.237915257608912,3.4028199999999994e-05,14.0,2.46516e-05,4.52888e-05,7.0,21.0
71,Graham,AZ,26554,13.0,4.895684266023952,4.6546949999999997e-05,12.0,3.3302e-05,6.04203e-05,6.0,19.0
72,Greenlee,AZ,8008,2.0,2.4975024975024973,4.299825e-05,3.0,2.83244e-05,5.83039e-05,0.0,6.0
73,La paz,AZ,13844,0.0,0.0,3.4385200000000004e-05,5.0,2.06246e-05,4.64659e-05,1.0,8.0
74,Maricopa,AZ,2122101,373.0,1.7576920231412168,1.81135e-05,384.0,1.67136e-05,1.9694e-05,338.0,429.0
75,Mohave,AZ,93497,30.0,3.2086591013615413,3.6413950000000004e-05,34.0,2.81966e-05,4.49788e-05,21.0,46.0
76,Navajo,AZ,77658,10.0,1.2876973396172964,2.427185e-05,19.0,1.69368e-05,3.17757e-05,9.0,27.0
77,Pima,AZ,666880,150.0,2.2492802303262955,2.388065e-05,159.0,2.09081e-05,2.67507e-05,129.0,186.0
78,Pinal,AZ,116379,21.0,1.804449256309128,2.555575e-05,30.0,1.90951e-05,3.22589e-05,18.0,41.0
79,Santa cruz,AZ,29676,0.0,0.0,2.7208149999999998e-05,8.0,1.78962e-05,3.79862e-05,3.0,13.0
80,Yavapai,AZ,107714,35.0,3.249345488980077,3.61358e-05,39.0,2.89427e-05,4.46801e-05,25.0,51.0
81,Yuma,AZ,106895,21.0,1.964544646615838,2.7108050000000002e-05,29.0,2.04161e-05,3.44615e-05,16.0,39.0
82,Arkansas,AR,21653,4.0,1.84731907818778,3.644325e-05,8.0,2.50948e-05,4.88187e-05,3.0,13.0
83,Ashley,AR,24319,4.0,1.644804473868169,3.4977450000000005e-05,8.0,2.34623e-05,4.67254e-05,2.0,13.0
84,Baxter,AR,31186,9.0,2.885910344385301,3.816755e-05,12.0,2.63936e-05,4.93819e-05,5.0,18.0
85,Benton,AR,97499,20.0,2.0513030902881053,2.8263599999999998e-05,27.0,2.09493e-05,3.54629e-05,17.0,38.0
86,Boone,AR,28297,10.0,3.533943527582429,4.1394449999999995e-05,12.0,2.90952e-05,5.36368e-05,5.0,18.0
87,Bradley,AR,11793,0.0,0.0,3.59689e-05,4.0,2.32673e-05,4.98558e-05,1.0,8.0
88,Calhoun,AR,5826,2.0,3.432887058015792,4.4385099999999996e-05,2.0,2.9378e-05,6.10252e-05,0.0,5.0
89,Carroll,AR,18654,4.0,2.144312211858047,3.83404e-05,7.0,2.55866e-05,5.20921e-05,2.0,12.0
90,Chicot,AR,15713,1.0,0.6364157067396423,3.50881e-05,5.0,2.30461e-05,4.90592e-05,1.0,9.0
91,Clark,AR,21437,3.0,1.399449549843728,3.48637e-05,7.0,2.29702e-05,4.65121e-05,2.0,12.0
92,Clay,AR,18107,10.0,5.5227260175622686,4.86949e-05,9.0,3.4157e-05,6.24878e-05,4.0,14.0
93,Cleburne,AR,19411,7.0,3.606202668589975,4.2546900000000004e-05,8.0,2.97094e-05,5.65503e-05,3.0,13.0
94,Cleveland,AR,7781,1.0,1.2851818532322326,4.069585e-05,3.0,2.6074e-05,5.5603e-05,0.0,6.0
95,Columbia,AR,25691,8.0,3.113930948581216,4.02569e-05,10.0,2.83763e-05,5.33016e-05,4.0,16.0
96,Conway,AR,19151,4.0,2.0886637773484416,3.766225e-05,7.0,2.48959e-05,5.16171e-05,2.0,12.0
97,Craighead,AR,68956,15.0,2.175300191426417,3.0813000000000005e-05,21.0,2.23744e-05,3.96432e-05,11.0,30.0
98,Crawford,AR,42493,12.0,2.823994540277222,3.70095e-05,16.0,2.68298e-05,4.84212e-05,8.0,23.0
99,Crittenden,AR,49939,1.0,0.2002442980436132,2.2155600000000002e-05,11.0,1.41535e-05,3.00147e-05,4.0,17.0
100,Cross,AR,19225,3.0,1.5604681404421326,3.6661e-05,7.0,2.52195e-05,5.07017e-05,1.0,11.0
101,Dallas,AR,9614,0.0,0.0,3.7516349999999995e-05,4.0,2.3344e-05,5.14426e-05,1.0,7.0
102,Desha,AR,16798,1.0,0.5953089653530182,3.4687e-05,6.0,2.20604e-05,4.66439e-05,2.0,10.0
103,Drew,AR,17369,4.0,2.302953537912373,3.9235250000000004e-05,7.0,2.59899e-05,5.21813e-05,2.0,11.0
104,Faulkner,AR,60006,10.0,1.6665000166650004,2.8994600000000002e-05,17.0,2.00633e-05,3.70574e-05,8.0,25.0
105,Franklin,AR,14897,3.0,2.01382828757468,3.88086e-05,6.0,2.56137e-05,5.18288e-05,2.0,10.0
106,Fulton,AR,10037,4.0,3.985254558134901,4.4562749999999996e-05,4.0,3.11014e-05,5.89127e-05,1.0,8.0
107,Garland,AR,73397,28.0,3.8148698175674753,4.07953e-05,30.0,3.1092e-05,5.04254e-05,17.0,40.0
108,Grant,AR,13948,2.0,1.4338973329509608,3.77162e-05,5.0,2.45002e-05,5.06641e-05,1.0,9.0
109,Greene,AR,31804,9.0,2.82983272544334,3.8297400000000004e-05,12.0,2.66604e-05,4.96158e-05,6.0,19.0
110,Hempstead,AR,21621,4.0,1.8500531890291847,3.649495e-05,8.0,2.47424e-05,4.89149e-05,3.0,13.0
111,Hot spring,AR,26115,0.0,0.0,2.8352e-05,7.0,1.79098e-05,3.85786e-05,2.0,12.0
112,Howard,AR,13569,2.0,1.473947969636672,3.84722e-05,5.0,2.43425e-05,5.11039e-05,1.0,9.0
113,Independence,AR,31192,7.0,2.2441651705565526,3.569595e-05,11.0,2.43054e-05,4.66733e-05,4.0,17.0
114,Izard,AR,11364,4.0,3.5198873636043646,4.365735e-05,5.0,3.02265e-05,5.87859e-05,0.0,8.0
115,Jackson,AR,18944,4.0,2.1114864864864864,3.79399e-05,7.0,2.56909e-05,5.13797e-05,2.0,12.0
116,Jefferson,AR,85487,17.0,1.9886064547825983,2.8535650000000002e-05,24.0,2.11447e-05,3.66116e-05,15.0,35.0
117,Johnson,AR,18221,9.0,4.939355688491301,4.6613150000000006e-05,8.0,3.25151e-05,6.1304e-05,3.0,13.0
118,Lafayette,AR,9643,1.0,1.0370216737529816,3.949305e-05,4.0,2.55287e-05,5.42301e-05,1.0,7.0
119,Lawrence,AR,17457,5.0,2.864180557942373,4.067945e-05,7.0,2.77107e-05,5.47831e-05,3.0,12.0
120,Lee,AR,13053,3.0,2.298322224775913,4.044935e-05,5.0,2.67531e-05,5.49195e-05,1.0,9.0
121,Lincoln,AR,13690,2.0,1.460920379839299,3.84614e-05,5.0,2.50135e-05,5.20394e-05,1.0,9.0
122,Little river,AR,13966,0.0,0.0,3.4585599999999996e-05,5.0,2.14556e-05,4.77879e-05,1.0,8.0
123,Logan,AR,20557,3.0,1.459356910054969,3.55024e-05,7.0,2.37607e-05,4.81453e-05,2.0,12.0
124,Lonoke,AR,39268,13.0,3.310583681369053,3.92891e-05,15.0,2.89857e-05,5.10433e-05,7.0,22.0
125,Madison,AR,11618,4.0,3.442933379239112,4.3539400000000005e-05,5.0,2.88241e-05,5.86535e-05,1.0,9.0
126,Marion,AR,12001,6.0,4.999583368052663,4.6817199999999996e-05,5.0,3.1421e-05,6.24904e-05,1.0,9.0
127,Miller,AR,38467,8.0,2.079704681935165,3.412785e-05,13.0,2.33353e-05,4.44777e-05,5.0,19.0
128,Mississippi,AR,57525,11.0,1.9122120817036077,3.026495e-05,17.0,2.19693e-05,3.98937e-05,8.0,25.0
129,Monroe,AR,11333,3.0,2.6471366804906027,4.17253e-05,5.0,2.77315e-05,5.71149e-05,1.0,8.0
130,Montgomery,AR,7841,1.0,1.2753475322025252,4.03381e-05,3.0,2.68371e-05,5.60857e-05,0.0,6.0
131,Nevada,AR,10101,1.0,0.99000099000099,3.885065e-05,4.0,2.53527e-05,5.31281e-05,1.0,7.0
132,Newton,AR,7666,1.0,1.3044612575006524,4.04005e-05,3.0,2.64991e-05,5.4904e-05,0.0,6.0
133,Ouachita,AR,30574,3.0,0.9812258781971608,3.0819849999999996e-05,9.0,2.0663e-05,4.15302e-05,4.0,15.0
134,Perry,AR,7969,2.0,2.5097251850922326,4.253215e-05,3.0,2.89141e-05,5.89676e-05,0.0,6.0
135,Phillips,AR,28838,8.0,2.7741174838754423,3.83643e-05,11.0,2.6491e-05,5.05271e-05,5.0,17.0
136,Pike,AR,10086,3.0,2.97441998810232,4.2821e-05,4.0,2.76233e-05,5.80755e-05,0.0,7.0
137,Poinsett,AR,24664,6.0,2.432695426532598,3.77967e-05,9.0,2.61049e-05,5.05276e-05,3.0,14.0
138,Polk,AR,17347,6.0,3.458811321842393,4.21403e-05,7.0,2.86825e-05,5.69204e-05,2.0,12.0
139,Pope,AR,45883,11.0,2.397402087919273,3.408855e-05,15.0,2.39468e-05,4.38747e-05,8.0,23.0
140,Prairie,AR,9518,2.0,2.101281781886951,4.13039e-05,4.0,2.71762e-05,5.57802e-05,0.0,7.0
141,Pulaski,AR,349660,68.0,1.9447463250014296,2.225625e-05,78.0,1.8235e-05,2.60616e-05,60.0,99.0
142,Randolph,AR,16558,7.0,4.227563715424568,4.4713200000000004e-05,7.0,3.07086e-05,5.91864e-05,2.0,12.0
143,Saline,AR,64183,15.0,2.3370674477665423,3.215235e-05,20.0,2.33097e-05,4.10929e-05,11.0,29.0
144,Scott,AR,10205,3.0,2.939735423811857,4.29552e-05,4.0,2.78655e-05,5.76354e-05,0.0,7.0
145,Searcy,AR,7841,2.0,2.5506950644050503,4.2432200000000003e-05,3.0,2.74926e-05,5.7725e-05,0.0,6.0
146,Sebastian,AR,99590,19.0,1.907822070489005,2.69076e-05,27.0,1.97651e-05,3.44863e-05,15.0,37.0
147,Sevier,AR,13637,3.0,2.1998973381242206,4.052865e-05,5.0,2.71524e-05,5.56593e-05,1.0,9.0
148,Sharp,AR,14109,9.0,6.37890708058686,5.0132450000000005e-05,7.0,3.49406e-05,6.68969e-05,2.0,11.0
149,St. francis,AR,28497,0.0,0.0,2.71564e-05,8.0,1.7113e-05,3.74965e-05,3.0,13.0
150,Stone,AR,9775,6.0,6.138107416879794,4.879e-05,5.0,3.30516e-05,6.61457e-05,1.0,8.0
151,Union,AR,46719,13.0,2.782593805518097,3.634375e-05,17.0,2.6251e-05,4.65163e-05,9.0,25.0
152,Van buren,AR,14008,0.0,0.0,3.4487349999999994e-05,5.0,2.18811e-05,4.76659e-05,0.0,8.0
153,Washington,AR,113409,20.0,1.7635284677582908,2.524015e-05,29.0,1.86736e-05,3.21519e-05,16.0,39.0
154,White,AR,54676,15.0,2.743434047845489,3.517445e-05,19.0,2.55909e-05,4.51913e-05,9.0,27.0
155,Woodruff,AR,9520,1.0,1.050420168067227,3.925555e-05,4.0,2.57693e-05,5.54371e-05,1.0,7.0
156,Yell,AR,17759,5.0,2.815473844247987,4.047855e-05,7.0,2.67451e-05,5.37814e-05,3.0,12.0
157,Alameda,CA,1279182,177.0,1.3836967687162576,1.48931e-05,190.0,1.3181e-05,1.67465e-05,158.0,222.0
158,Alpine,CA,1113,0.0,0.0,4.457075e-05,0.0,2.96693e-05,6.24745e-05,0.0,1.0
159,Amador,CA,30039,6.0,1.997403375611705,3.505755e-05,10.0,2.414e-05,4.56489e-05,4.0,16.0
160,Butte,CA,182120,48.0,2.635624862727872,2.999275e-05,55.0,2.42202e-05,3.6108e-05,38.0,70.0
161,Calaveras,CA,31998,7.0,2.187636727295456,3.519375e-05,11.0,2.46895e-05,4.61692e-05,4.0,17.0
162,Colusa,CA,16275,4.0,2.457757296466974,4.003615e-05,6.0,2.66314e-05,5.45434e-05,2.0,11.0
163,Contra costa,CA,803732,0.0,0.0,2.304325e-06,18.0,1.46257e-06,3.20962e-06,8.0,27.0
164,Del norte,CA,23460,0.0,0.0,2.946935e-05,7.0,1.87042e-05,4.05424e-05,1.0,11.0
165,El dorado,CA,125995,0.0,0.0,1.1649850000000002e-05,15.0,7.56131e-06,1.59057e-05,6.0,22.0
166,Fresno,CA,667490,95.0,1.4232422957647304,1.60703e-05,108.0,1.35957e-05,1.85346e-05,81.0,129.0
167,Glenn,CA,24798,6.0,2.419549963706751,3.804635e-05,9.0,2.56698e-05,5.07435e-05,3.0,14.0
168,Humboldt,CA,119118,28.0,2.350610319179301,2.91239e-05,34.0,2.2115e-05,3.63451e-05,21.0,46.0
169,Imperial,CA,109303,17.0,1.555309552345315,2.410375e-05,26.0,1.76429e-05,3.09084e-05,16.0,37.0
170,Inyo,CA,18281,2.0,1.0940320551392155,3.53172e-05,6.0,2.28029e-05,4.83737e-05,2.0,11.0
171,Kern,CA,543477,87.0,1.6008037138646158,1.8065399999999998e-05,98.0,1.51538e-05,2.09586e-05,73.0,119.0
172,Kings,CA,101469,12.0,1.182627206338882,2.180525e-05,22.0,1.55007e-05,2.81466e-05,11.0,31.0
173,Lake,CA,50631,23.0,4.54267148584859,4.534885e-05,23.0,3.33178e-05,5.5834e-05,13.0,32.0
174,Lassen,CA,27598,8.0,2.8987607797666497,3.91797e-05,11.0,2.73625e-05,5.10989e-05,5.0,17.0
175,Los angeles,CA,8863164,0.0,0.0,2.18181e-07,19.0,1.41502e-07,3.01477e-07,8.0,28.0
176,Madera,CA,88090,16.0,1.816324213872176,2.7024450000000002e-05,24.0,1.92236e-05,3.44814e-05,12.0,33.0
177,Marin,CA,230096,47.0,2.042625686669912,2.429515e-05,56.0,1.94209e-05,2.91006e-05,39.0,72.0
178,Mariposa,CA,14302,6.0,4.1952174521046,4.4780099999999995e-05,6.0,3.009e-05,5.90374e-05,1.0,10.0
179,Mendocino,CA,80345,12.0,1.4935590266973675,2.55372e-05,20.0,1.802e-05,3.2734e-05,10.0,29.0
180,Merced,CA,178403,35.0,1.9618504173136104,2.461665e-05,44.0,1.91761e-05,3.04236e-05,28.0,57.0
181,Modoc,CA,9678,2.0,2.0665426741062207,4.13588e-05,4.0,2.70033e-05,5.54888e-05,0.0,7.0
182,Mono,CA,9956,0.0,0.0,3.7114749999999996e-05,4.0,2.35334e-05,5.12897e-05,1.0,7.0
183,Monterey,CA,355660,45.0,1.2652533318337738,1.624615e-05,57.0,1.29347e-05,1.93536e-05,40.0,73.0
184,Napa,CA,110765,42.0,3.791811492800072,4.0023e-05,44.0,3.16068e-05,4.85078e-05,29.0,58.0
185,Nevada,CA,78510,15.0,1.9105846388995031,2.8336600000000002e-05,22.0,2.08928e-05,3.63047e-05,12.0,31.0
186,Orange,CA,2410556,379.0,1.5722513810091947,1.622355e-05,391.0,1.48119e-05,1.75089e-05,346.0,437.0
187,Placer,CA,172796,31.0,1.7940230097918934,2.3453900000000003e-05,41.0,1.79527e-05,2.89692e-05,28.0,55.0
188,Plumas,CA,19739,6.0,3.039667663002178,4.076695e-05,8.0,2.78746e-05,5.48591e-05,3.0,13.0
189,Riverside,CA,1170413,192.0,1.640446577404728,1.74065e-05,204.0,1.53717e-05,1.93083e-05,168.0,234.0
190,Sacramento,CA,1041219,171.0,1.6423057973394648,1.75332e-05,182.0,1.54349e-05,1.96592e-05,149.0,211.0
191,San benito,CA,36697,0.0,0.0,2.470005e-05,9.0,1.63267e-05,3.41268e-05,4.0,15.0
192,San bernardino,CA,1418380,0.0,0.0,1.340325e-06,19.0,8.64859e-07,1.83803e-06,8.0,28.0
193,San diego,CA,2498016,0.0,0.0,7.708315e-07,19.0,4.99331e-07,1.04834e-06,9.0,29.0
194,San francisco,CA,723959,0.0,0.0,2.56511e-06,18.0,1.60428e-06,3.48856e-06,9.0,28.0
195,San joaquin,CA,480628,0.0,0.0,3.736105e-06,18.0,2.48544e-06,5.21473e-06,8.0,27.0
196,San luis obispo,CA,217162,0.0,0.0,7.436445e-06,16.0,4.75062e-06,1.02891e-05,7.0,25.0
197,San mateo,CA,649623,0.0,0.0,2.816645e-06,18.0,1.7812e-06,3.86631e-06,8.0,27.0
198,Santa barbara,CA,369608,0.0,0.0,4.77059e-06,17.0,3.00475e-06,6.5265e-06,7.0,26.0
199,Santa clara,CA,1497577,0.0,0.0,1.2733199999999999e-06,19.0,8.01423e-07,1.73252e-06,10.0,29.0
200,Santa cruz,CA,229734,0.0,0.0,7.19132e-06,16.0,4.45233e-06,9.79273e-06,7.0,25.0
201,Shasta,CA,147036,33.0,2.244348322859708,2.76406e-05,41.0,2.12231e-05,3.36532e-05,25.0,53.0
202,Sierra,CA,3318,1.0,3.0138637733574445,4.43631e-05,1.0,2.84505e-05,6.08513e-05,0.0,3.0
203,Siskiyou,CA,43531,12.0,2.756656176058441,3.64685e-05,16.0,2.55897e-05,4.7035e-05,7.0,23.0
204,Solano,CA,340421,33.0,0.9693879049764847,1.37182e-05,47.0,1.05661e-05,1.68217e-05,32.0,63.0
205,Sonoma,CA,388222,74.0,1.9061258764315263,2.1701600000000002e-05,84.0,1.78383e-05,2.52156e-05,62.0,103.0
206,Stanislaus,CA,370522,56.0,1.511381240520131,1.8263550000000002e-05,67.0,1.48046e-05,2.16696e-05,48.0,85.0
207,Sutter,CA,64415,7.0,1.0867034075913993,2.486815e-05,16.0,1.76199e-05,3.29659e-05,8.0,24.0
208,Tehama,CA,49625,18.0,3.627204030226701,4.048545e-05,20.0,2.91836e-05,5.1046e-05,10.0,28.0
209,Trinity,CA,13063,4.0,3.062083747990508,4.23736e-05,5.0,2.87187e-05,5.7539e-05,1.0,9.0
210,Tulare,CA,311921,57.0,1.827385780373877,2.1516200000000002e-05,67.0,1.74967e-05,2.57635e-05,49.0,85.0
211,Tuolumne,CA,48456,12.0,2.4764735017335315,3.44781e-05,16.0,2.43543e-05,4.4513e-05,8.0,24.0
212,Ventura,CA,669016,110.0,1.644205818694919,1.814635e-05,121.0,1.56221e-05,2.08013e-05,96.0,145.0
213,Yolo,CA,141092,29.0,2.0553964788932046,2.6268900000000002e-05,37.0,2.01264e-05,3.23225e-05,23.0,49.0
214,Yuba,CA,58228,16.0,2.747818918733256,3.52059e-05,20.0,2.52059e-05,4.42059e-05,12.0,30.0
215,Adams,CO,265038,40.0,1.5092175461631916,1.9313699999999998e-05,51.0,1.51085e-05,2.33676e-05,34.0,66.0
216,Alamosa,CO,13617,2.0,1.468752294925461,3.82748e-05,5.0,2.55054e-05,5.17077e-05,1.0,9.0
217,Arapahoe,CO,391511,32.0,0.8173461282058487,1.191145e-05,47.0,9.18339e-06,1.46333e-05,30.0,61.0
218,Archuleta,CO,5345,2.0,3.741814780168382,4.4540600000000005e-05,2.0,2.96471e-05,6.09224e-05,0.0,5.0
219,Baca,CO,4556,1.0,2.1949078138718177,4.327375e-05,2.0,2.87028e-05,6.06371e-05,0.0,4.0
220,Bent,CO,5048,1.0,1.9809825673534076,4.264925e-05,2.0,2.78351e-05,5.88139e-05,0.0,4.0
221,Boulder,CO,225339,37.0,1.641970542160922,2.1199650000000003e-05,48.0,1.66685e-05,2.56616e-05,33.0,63.0
222,Chaffee,CO,12684,1.0,0.7883948281299274,3.6989399999999995e-05,5.0,2.48076e-05,5.20084e-05,1.0,8.0
